Index,Year,"pop_[0,15)","pop_[15,65)","pop_[65,100]","mort_rate_[0,15)","mort_rate_[15,65)","mort_rate_[65,100]","ao_rate_[0,15)","ao_rate_[15,65)","ao_rate_[65,100]",B,"sim_[0,15)","sim_[15,65)","sim_[65,99]","sim_[0,99]"
106,1952,148056.192,228090.663,12390.6462120893,0.0101457879661933,0.00892546530680649,0.0500882928556302,0.0563282506794959,0.00663053243602751,0,0,146554.045268886,226054.847700587,11770.0198959477,384378.912865421
107,1953,151686.157,230793.472,12679.3436924829,0.0118209196068952,0.00771945136886465,0.0516183218264853,0,0,0,14874.151,151686.157,230793.472,12679.3436924829,395158.972692483
108,1953,151686.157,230793.472,12679.3436924829,0.0118209196068952,0.00771945136886465,0.0516183218264853,0.0552217794585568,0.00640925285080447,0,0,149893.087132624,229011.873016645,12024.8572492157,390929.817398484
109,1954,155150.394,234053.595,12871.9492978081,0.0122818589661118,0.00684072091750587,0.0538592236488229,0,0,0,15306.544,155150.394,234053.595,12871.9492978081,402075.938297808
110,1954,155150.394,234053.595,12871.9492978081,0.0122818589661118,0.00684072091750587,0.0538592236488229,0.0540596276311506,0.00602576010990257,0,0,153244.858742355,232452.499676866,12178.6761017812,397876.034521003
111,1955,158598.575,237746.014,12923.4450618688,0.00729362150593516,0.00966274034106229,0.0434961986772051,0,0,0,15520.208,158598.575,237746.014,12923.4450618687,409268.034061869
112,1955,158598.575,237746.014,12923.4450618688,0.00729362150593516,0.00966274034106229,0.0434961986772051,0.0525270741687039,0.00572543315756988,0,0,157441.817022569,235448.735999595,12361.3243278638,405251.877350029
113,1956,163460.411,240095.568,13171.6997089856,0.00812360688693326,0.00788472588109257,0.0440001302428232,0,0,0,15436.873,163460.411,240095.568,13171.6997089856,416727.678708986
114,1956,163460.411,240095.568,13171.6997089856,0.00812360688693326,0.00788472588109257,0.0440001302428232,0.0512785272957304,0.00545808338592924,0,0,162132.52287946,238202.480261055,12592.1432062709,412927.146346785
115,1957,167783.634,243338.107,13338.2162651587,0.00756579195884755,0.00697587311101022,0.0455543739644411,0,0,0,15282.129,167783.634,243338.107,13338.2162651587,424459.957265159
116,1957,167783.634,243338.107,13338.2162651587,0.00756579195884755,0.00697587311101022,0.0455543739644411,0.0503508054998124,0.00540809755976228,0,0,166514.217931057,241640.611242495,12730.6021733971,420885.431346948
117,1958,171990.735,247032.266,13457.4835611976,0.00620542700457327,0.00673521766477381,0.0478903124287224,0,0,0,15120.454,171990.735,247032.266,13457.4835611976,432480.484561198
118,1958,171990.735,247032.266,13457.4835611976,0.00620542700457327,0.00673521766477381,0.0478903124287224,0.0496037351876578,0.00564825266028149,0,0,170923.459048495,245368.449918268,12813.0004689475,429104.90943571
119,1959,176419.075,250808.379,13585.2848733402,0.00499198384923061,0.00669885502588441,0.0504574210861201,0,0,0,15034.711,176419.075,250808.379,13585.2848733402,440812.73887334
120,1959,176419.075,250808.379,13585.2848733402,0.00499198384923061,0.00669885502588441,0.0504574210861201,0.049045646438406,0.00602585214571378,0,0,175538.393826904,249128.250029802,12899.8064339112,437566.450290617
121,1960,181161.842,254567.56,13750.1254687459,0.00485136871419101,0.0069494425707437,0.0401906080082622,0,0,0,15109.127,181161.842,254567.56,13750.1254687459,449479.527468746
122,1960,181161.842,254567.56,13750.1254687459,0.00485136871419101,0.0069494425707437,0.0401906080082622,0.048547688829427,0.00633342472383471,0,0,180282.959107516,252798.457361406,13197.4995659671,446278.916034889
123,1961,186032.79,258192.89,14268.1640342221,0.00451014892442758,0.00705436881277477,0.0420223054159225,0,0,0,15376.771,186032.79,258192.89,14268.1640342221,458493.844034222
124,1961,186032.79,258192.89,14268.1640342221,0.00451014892442758,0.00705436881277477,0.0420223054159225,0.0479984545278537,0.00663350249882138,0,0,185193.754412273,256371.502129104,13668.5828874515,455233.839428829
125,1962,191305.236,261751.336,14794.8385227522,0.00491440360303341,0.00688794473526655,0.0435995358454049,0,0,0,15835.747,191305.236,261751.336,14794.8385227522,467851.410522752
126,1962,191305.236,261751.336,14794.8385227522,0.00491440360303341,0.00688794473526655,0.0435995358454049,0.0480587656438155,0.00678183035841679,0,0,190365.084858923,259948.40726325,14149.7904302525,464463.282552425
127,1963,196687.379,265543.682,15295.7921351837,0.00601573406149225,0.00626419530479683,0.0447943407857181,0,0,0,16406.536,196687.379,265543.682,15295.7921351837,477526.853135184
128,1963,196687.379,265543.682,15295.7921351837,0.00601573406149225,0.00626419530479683,0.0447943407857181,0.04910095518324,0.00673104524611307,0,0,195504.160034684,263880.264513997,14610.6272096928,473995.051758374
129,1964,201700.568,270050.518,15732.3437953687,0.00707581191687323,0.00551045995325528,0.0459773811370082,0,0,0,16971.95,201700.568,270050.518,15732.3437953687,487483.429795369
130,1964,201700.568,270050.518,15732.3437953687,0.00707581191687323,0.00551045995325528,0.0459773811370082,0.0508262624326415,0.00658575771719153,0,0,200273.372717306,268562.415435205,15009.0118285106,483844.799981021
131,1965,206120.678,275492.973,16087.6237711813,0.00526713371189835,0.00700664476850244,0.0391880676480807,0,0,0,17443.549,206120.678,275492.973,16087.6237711813,497701.274771181
132,1965,206120.678,275492.973,16087.6237711813,0.00526713371189835,0.00700664476850244,0.0391880676480807,0.0523116410804814,0.00645033498415575,0,0,205035.012828187,273562.69160197,15457.1808825394,494054.885312697
133,1966,210937.633,280607.082,16616.0148324658,0.00587182748759574,0.0060679472591727,0.0399328676262074,0,0,0,17708.285,210937.633,280607.082,16616.0148324658,508160.729832466
134,1966,210937.633,280607.082,16616.0148324658,0.00587182748759574,0.0060679472591727,0.0399328676262074,0.0539869558067335,0.00632444009702338,0,0,209699.043608382,278904.373025874,15952.4897116859,504555.906345942
135,1967,215039.991,286769.095,17079.3750517207,0.00605053361864893,0.00525238301962316,0.040866717409176,0,0,0,17893.277,215039.991,286769.095,17079.3750517207,518888.461051721
136,1967,215039.991,286769.095,17079.3750517207,0.00605053361864893,0.00525238301962316,0.040866717409176,0.0552505176509813,0.00628806677726605,0,0,213738.884305101,285262.873874869,16381.3970579567,515383.155237926
137,1968,218680.22,293779.996,17505.6951336217,0.00574136383404711,0.00467929160705438,0.0420624378803985,0,0,0,18043.754,218680.22,293779.996,17505.6951336217,529965.911133622
138,1968,218680.22,293779.996,17505.6951336217,0.00574136383404711,0.00467929160705438,0.0420624378803985,0.0557014320394437,0.0063798977392047,0,0,217424.697293671,292405.313730397,16769.3629195105,526599.373943578
139,1969,222291.697,301282.415,17929.5186334147,0.00530309611892488,0.00423068095746804,0.043351602892922,0,0,0,18226.181,222291.697,301282.415,17929.5186334147,541503.630633415
140,1969,222291.697,301282.415,17929.5186334147,0.00530309611892488,0.00423068095746804,0.043351602892922,0.0556361074891854,0.00653835032492624,0,0,221112.86276437,300007.78522404,17152.2452615577,538272.893249967
141,1970,226128.011,309078.851,18370.2239362566,0.00379959693675902,0.00498777613886114,0.0373937495712066,0,0,0,18489.59,226128.011,309078.851,18370.2239362566,553577.085936257
142,1970,226128.011,309078.851,18370.2239362566,0.00379959693675902,0.00498777613886114,0.0373937495712066,0.055519366766414,0.00664248022124575,0,0,225268.815702089,307537.234881956,17683.2923828173,550489.342966862
143,1971,230691.162,316467.28,19064.8577758598,0.00392157141967242,0.00434598690278665,0.0381210399719322,0,0,0,18785.059,230691.162,316467.28,19064.8577758598,566223.29977586
